X,Y,Signal Strength,Signal Quality,Network
67.13200892,24.93041976,31,Great,Jazz
67.11528695,24.92919668,16.1875,Moderate,Jazz
67.11540286,24.9292512,31,Great,Jazz
67.11563597,24.92935621,24.63157895,Good,Jazz
67.12835345,24.93094903,27.2,Great,Jazz
67.12921486,24.93140789,23.33333333,Good,Telenor
67.1318645,24.93178332,24.7,Good,Telenor
67.13168495,24.93265337,28.75,Great,Telenor
67.13328551,24.93298674,30.25,Great,Telenor
67.12919203,24.93139038,25.83333333,Good,Jazz
67.13024356,24.9321402,31,Great,Jazz
67.11353798,24.92582786,31,Great,Telenor
67.11325684,24.92630789,22.77272727,Good,Telenor
67.11447852,24.92411117,23.75,Good,Telenor
67.11687481,24.92317978,20.66666667,Moderate,Telenor
67.11449167,24.92560567,14.73684211,Bad,Telenor
67.11358759,24.92477412,16.41176471,Moderate,Telenor
67.11579476,24.9238051,28.23076923,Great,Telenor
67.11517156,24.92469317,11.81818182,Bad,Telenor
67.11538853,24.92359561,13.44444444,Bad,Telenor
67.1150886,24.92463294,24.125,Good,Telenor
67.1120441,24.9275194,29.83333333,Great,Jazz
67.08838706,24.99494081,18.33333333,Moderate,Telenor
67.040822,24.90736874,19.5,Moderate,Telenor
67.04404569,24.90054658,26.88888889,Good,Jazz
67.0414218,24.90652943,15,Moderate,Telenor
67.04416599,24.90053853,30.66666667,Great,Zong
67.06302527,24.97029066,31,Great,Jazz
67.06303308,24.96841382,27.84210526,Great,Jazz
67.11529467,24.92480942,28.36363636,Great,Jazz
67.1143637,24.92855253,29.68181818,Great,Jazz
67.11316584,24.92792159,23.95238095,Good,Jazz
67.1129651,24.92782626,22.86666667,Good,Jazz
67.08773925,24.9805134,23.47058824,Good,Telenor
67.11553158,24.92207676,18.16666667,Moderate,Telenor
67.11552457,24.92206966,15.2,Moderate,Telenor
67.11670954,24.92031407,17.84615385,Moderate,Telenor
67.11918106,24.91819345,25.875,Good,Telenor
67.11723417,24.91820802,9.463414634,Bad,Telenor
67.1180348,24.92102294,31,Great,Jazz
67.11920077,24.91727505,24.2,Good,Jazz
67.12719593,24.91487166,31,Great,Jazz
67.14060634,24.92644547,19.91666667,Moderate,Telenor
67.14073942,24.92638348,27.03846154,Great,Telenor
67.13407761,24.91913568,17,Moderate,Telenor
67.1338473,24.91933723,23.41176471,Good,Telenor
67.13424413,24.91953692,29.35,Great,Telenor
67.13182041,24.91439198,28.84615385,Great,Telenor
67.13523633,24.91941514,30.76190476,Great,Telenor
67.13506686,24.9213308,18.08333333,Moderate,Telenor
67.13132697,24.91502237,28.46153846,Great,Telenor
67.13554259,24.91914057,20.63636364,Moderate,Telenor
67.1356941,24.92327376,31,Great,Telenor
67.13469556,24.91371212,22,Good,Telenor
67.13382596,24.91468594,21,Good,Telenor
67.13544504,24.92044243,8.5,No Coverage,Telenor
67.12971606,24.9127813,27.4,Great,Telenor
67.13092533,24.91373509,25.91666667,Good,Telenor
67.13323173,24.91306583,29.83870968,Great,Telenor
67.13226313,24.91418322,22,Good,Jazz
67.13160556,24.91596607,31,Great,Jazz
67.13062772,24.91670641,16,Moderate,Jazz
67.13230511,24.91380808,31,Great,Jazz
67.1355991,24.92031003,20.83333333,Moderate,Jazz
67.13584106,24.91910781,30.625,Great,Jazz
67.1351687,24.91605624,27.14285714,Great,Jazz
67.13131294,24.91239448,15.86956522,Moderate,Jazz
67.13576517,24.92338231,28.90909091,Great,Jazz
67.12036867,24.92259396,30.5,Great,Telenor
67.11911345,24.92398866,31,Great,Telenor
67.12212582,24.92156089,25.66666667,Good,Telenor
67.12521643,24.92058811,10.83333333,Bad,Telenor
67.12808104,24.92175792,25.66666667,Good,Telenor
67.12763028,24.92134475,25.70588235,Good,Telenor
67.12717505,24.92045861,29.14814815,Great,Telenor
67.12674199,24.91440029,30.06666667,Great,Telenor
67.12132936,24.92150944,30.3,Great,Jazz
67.12321472,24.92023415,31,Great,Jazz
67.12706256,24.91852286,30.66666667,Great,Jazz
67.12881645,24.91959772,12.44444444,Bad,Jazz
67.12707716,24.92347295,29.63636364,Great,Jazz
67.11951344,24.9235562,29.5,Great,Jazz
67.12465023,24.91941091,31,Great,Jazz
67.12238027,24.92342629,29.5,Great,Jazz
67.12240045,24.92340609,30.375,Great,Jazz
67.13271853,24.91948697,17.54545455,Moderate,Telenor
67.06712461,24.96898522,26.7,Good,Telenor
67.06550046,24.9672529,27.06122449,Great,Telenor
67.06559255,24.97265539,27.38461538,Great,Telenor
67.06519216,24.96945383,31,Great,Telenor
67.06141233,24.96934645,24.4,Good,Telenor
67.06499127,24.97344432,28.76470588,Great,Telenor
67.06707238,24.97038868,22.83333333,Good,Telenor
67.06636703,24.97051526,31,Great,Telenor
67.06562266,24.97212724,31,Great,Telenor
67.06499509,24.97331927,30.81818182,Great,Telenor
67.0630073,24.97173411,24.8125,Good,Telenor
67.06565878,24.96672279,13.53333333,Bad,Telenor
67.06302922,24.96788592,22.58333333,Good,Telenor
67.06409668,24.96845892,25.18181818,Good,Jazz
67.06424503,24.96940172,27.38461538,Great,Jazz
67.06562765,24.969464,22.78571429,Good,Jazz
67.06714683,24.96853473,30.5,Great,Jazz
67.06767089,24.96932838,26.625,Good,Jazz
67.15572983,24.93825961,31,Great,Telenor
67.14742529,24.93533029,30,Great,Telenor
67.14713065,24.93604794,19.1,Moderate,Telenor
67.15565833,24.93538652,27.74509804,Great,Telenor
67.15568631,24.93537744,27.5,Great,Telenor
67.15603538,24.93741217,25.8,Good,Telenor
67.15392641,24.93542671,30.78571429,Great,Telenor
67.1539934,24.93232425,26.2,Good,Jazz
67.15003394,24.93356269,22.25,Good,Jazz
67.15668009,24.93497899,28.71428571,Great,Jazz
67.15685957,24.93522663,26,Good,Jazz
67.15708611,24.93554011,28,Great,Jazz
67.15580295,24.93844925,31,Great,Jazz
67.15261309,24.93020074,30.30769231,Great,Jazz
67.15393696,24.93370178,27.3,Great,Jazz
67.14898248,24.9357325,28,Great,Jazz
67.1550179,24.93833541,24.66666667,Good,Telenor
67.15252841,24.93187831,31,Great,Telenor
67.08087479,24.82659752,25.92857143,Good,Telenor
67.00593321,24.94326646,26.41666667,Good,Telenor
67.00615945,24.94361662,23.29411765,Good,Jazz
67.00993087,24.94486895,11.91666667,Bad,Telenor
67.04976832,24.81441871,31,Great,Telenor
67.06141837,24.84233583,31,Great,Jazz
67.06604064,24.82603331,26,Good,Telenor
67.07322052,24.81945411,22.1,Good,Telenor
67.05290386,24.79438172,31,Great,Telenor
67.05875116,24.78871652,24.33333333,Good,Jazz
67.0447753,24.80217839,28.31818182,Great,Telenor
67.05678768,24.78922585,24.0952381,Good,Jazz
67.06131137,24.8223022,21.125,Good,Telenor
67.07122906,24.84221735,28.16666667,Great,Telenor
67.06279439,24.82131916,31,Great,Jazz
67.03895794,24.81826722,16.5,Moderate,Telenor
67.07100735,24.80618285,22.77777778,Good,Telenor
67.07579343,24.81111988,17.8,Moderate,Telenor
67.06117454,24.82150094,12.72727273,Bad,Telenor
67.0552716,24.81944259,14.3,Bad,Telenor
67.05723631,24.83152638,15.91666667,Moderate,Jazz
67.06928314,24.83392466,28.25,Great,Jazz
67.0718954,24.81420562,30.18181818,Great,Jazz
67.0548745,24.78432953,22,Good,Jazz
67.05983053,24.84004181,22.52941176,Good,Telenor
67.07551488,24.95849714,31,Great,Jazz
67.04002662,24.94526977,28.90909091,Great,Jazz
67.06427004,24.94566982,31,Great,Jazz
67.03810056,24.92103421,31,Great,Jazz
67.06576746,24.9584992,24.11764706,Good,Jazz
67.02407392,24.93609955,21,Good,Jazz
67.06988556,24.95946641,20.8,Moderate,Telenor
67.04642943,24.92415104,27.64285714,Great,Telenor
67.02800524,24.93451291,30.2,Great,Telenor
67.06525071,24.93731653,31,Great,Jazz
67.08808444,24.9977752,30,Great,Jazz
67.06550623,24.92888605,30.34782609,Great,Jazz
67.06662946,24.88664618,30.78571429,Great,Telenor
67.06550164,24.87885849,24.35714286,Good,Telenor
67.0653107,24.88302556,17.73333333,Moderate,Telenor
67.06657198,24.88346031,31,Great,Telenor
67.06401931,24.88384649,13.8,Bad,Telenor
67.05834622,24.87742408,25.5,Good,Telenor
67.06130679,24.86989575,27.25,Great,Telenor
67.04778567,24.86567382,30.68421053,Great,Jazz
67.04970124,24.8843925,23.91666667,Good,Jazz
67.05952448,24.8975077,24,Good,Telenor
67.05092139,24.8816531,30.6,Great,Jazz
67.07422063,24.89536271,23.47058824,Good,Jazz
67.0195042,24.85932899,27.33333333,Great,Telenor
67.03061421,24.86400932,31,Great,Telenor
67.0201976,24.84508057,16.07692308,Moderate,Telenor
67.03902231,24.8549741,23.11111111,Good,Telenor
67.13588061,24.93462236,20.41666667,Moderate,Telenor
67.13595087,24.93414829,21.77777778,Good,Telenor
67.13650088,24.92997688,22.71428571,Good,Telenor
67.13152839,24.92760546,31,Great,Telenor
67.12547108,24.93149803,26.25,Good,Telenor
67.12905699,24.92766315,11.61538462,Bad,Telenor
67.13604156,24.93499922,25.64705882,Good,Telenor
67.13479137,24.92926516,25.92307692,Good,Telenor
67.13531935,24.92849197,28.77419355,Great,Telenor
67.13578598,24.93059791,25.41176471,Good,Telenor
67.13476881,24.93462902,30.95,Great,Jazz
67.13276794,24.93393687,30.75,Great,Jazz
67.13550985,24.93522686,30.93333333,Great,Jazz
67.12658374,24.92819923,31,Great,Jazz
67.13532133,24.92616353,26.25,Good,Jazz
67.13720613,24.93005136,23,Good,Jazz
67.13244767,24.9263279,28.54545455,Great,Jazz
67.12956885,24.92651281,27.69230769,Great,Jazz
67.13494376,24.93120499,20.55555556,Moderate,Jazz
67.13673281,24.9238441,27,Great,Jazz
67.13829729,24.93621013,30.9,Great,Jazz
67.08059162,24.97504405,27.375,Great,Jazz
67.08994471,24.99001589,31,Great,Jazz
67.08312755,24.9829733,30.36842105,Great,Jazz
67.02931433,24.93339209,15.42857143,Moderate,Telenor
67.3439548,24.95376565,29,Great,Jazz
67.08831889,24.97667107,27.25,Great,Jazz
67.08946732,24.9818802,23,Good,Jazz
67.08887887,24.97665751,20.0625,Moderate,Jazz
67.12732485,24.91699962,30.71428571,Great,Telenor
67.12907799,24.9164411,20.61538462,Moderate,Telenor
67.12795133,24.91470392,30.90909091,Great,Telenor
67.12931576,24.91468385,31,Great,Telenor
67.1285717,24.91397716,31,Great,Telenor
67.12846706,24.91499881,17.97826087,Moderate,Telenor
67.12737335,24.91174787,15,Moderate,Telenor
67.12850707,24.91594981,29.31034483,Great,Telenor
67.12826622,24.91783693,30.5,Great,Jazz
67.12692949,24.91270096,21.13333333,Good,Jazz
67.12778275,24.91466091,28.78571429,Great,Jazz
67.12844591,24.9149801,25.33333333,Good,Jazz
67.12803548,24.91333449,19.88235294,Moderate,Jazz
67.12162948,24.91840976,9.714285714,Bad,Telenor
67.12514691,24.91637756,18.90909091,Moderate,Telenor
67.12144963,24.91749001,28.08333333,Great,Telenor
67.12189745,24.91783419,31,Great,Telenor
67.12241103,24.91469916,29.33333333,Great,Jazz
67.03050316,24.84527284,22.63636364,Good,Telenor
67.00783573,24.83918266,28.7,Great,Jazz
67.03305115,24.86011726,31,Great,Jazz
67.03638713,24.84244853,31,Great,Jazz
67.01203983,24.85344691,20.08333333,Moderate,Jazz
67.04337499,24.85055129,29,Great,Jazz
67.33836987,24.77872749,28,Great,Telenor
67.34014156,24.77976913,27.46153846,Great,Telenor
67.0514252,24.94662182,24.76470588,Good,Telenor
67.13457254,24.92046352,26.625,Good,Telenor
67.14712242,25.03659199,19.18181818,Moderate,Telenor
67.42077853,24.81480785,23.8,Good,Telenor
67.08391503,24.95331156,19.4,Moderate,Telenor
67.06976403,24.94323892,27.875,Great,Telenor
67.06974441,24.94325909,31,Great,Jazz
67.06951138,24.94376186,31,Great,Jazz
67.08160683,24.95712171,26.84615385,Good,Jazz
67.06648411,24.94103595,30.7,Great,Telenor
67.06523752,24.94003022,24.33333333,Good,Jazz
67.06302775,24.91017458,16.125,Moderate,Telenor
67.12222904,24.91917584,15.65789474,Moderate,Jazz
67.12257155,24.91942481,31,Great,Jazz
67.13300525,24.92137088,25.83333333,Good,Telenor
67.12046677,24.92533364,27.66666667,Great,Telenor
67.12463162,24.92429753,31,Great,Telenor
67.13244667,24.92323751,31,Great,Telenor
67.13021213,24.92380179,26.5,Good,Telenor
67.1223633,24.92487844,21.85714286,Good,Telenor
67.12436336,24.92553929,31,Great,Telenor
67.12640396,24.9254425,31,Great,Telenor
67.13207263,24.92223378,29.69230769,Great,Telenor
67.12392,24.92191787,24.11111111,Good,Telenor
67.1282974,24.92494455,19.70588235,Moderate,Telenor
67.12461079,24.9263279,28.875,Great,Jazz
67.13181324,24.92244527,22.16666667,Good,Telenor
67.13160059,24.92289215,31,Great,Jazz
67.13159123,24.92260535,30,Great,Jazz
67.13137811,24.92282068,29.125,Great,Jazz
67.13083247,24.92329354,31,Great,Jazz
67.11851282,24.92425333,31,Great,Jazz
67.12338322,24.92552076,31,Great,Jazz
67.12467387,24.92870373,31,Great,Jazz
67.12208744,24.92540494,30.92857143,Great,Jazz
67.12550858,24.92484721,31,Great,Jazz
67.12973615,24.92335369,27.63636364,Great,Jazz
67.03607437,24.82992295,28.90909091,Great,Telenor
67.02170136,24.81521119,31,Great,Telenor
67.02940326,24.81062023,21.08333333,Good,Telenor
67.03237902,24.82654169,24.36842105,Good,Telenor
67.03064363,24.83587563,9.6,Bad,Jazz
67.04689635,24.83167037,29.77777778,Great,Jazz
67.00433895,24.81777715,31,Great,Jazz
67.02866373,24.83513961,24.125,Good,Jazz
67.30628983,24.84241452,21,Good,Telenor
67.13345597,24.93407881,30,Great,Telenor
67.27903683,24.83237091,25.92307692,Good,Telenor
67.06183745,24.79806826,24.29411765,Good,Jazz
67.04259433,24.79988116,28.8,Great,Jazz
67.0570255,24.78079387,31,Great,Telenor
67.08418004,24.82514862,21.5,Good,Telenor
67.05593946,24.78072163,22.46153846,Good,Telenor
67.08368083,24.82436867,23.85714286,Good,Jazz
67.08433174,24.82326783,15.26666667,Moderate,Jazz
67.08278859,24.8216,28,Great,Telenor
67.07612106,24.8355048,25.71428571,Good,Telenor
67.07623972,24.83631593,23.11111111,Good,Telenor
67.14604975,24.8446711,29.84615385,Great,Telenor
67.07756207,24.9315637,17.95833333,Moderate,Telenor
67.07573394,24.92734018,31,Great,Telenor
67.07562907,24.9295193,25.18181818,Good,Telenor
67.07841193,24.93279888,31,Great,Telenor
67.07901772,24.93216971,31,Great,Telenor
67.07648235,24.93069957,14.27272727,Bad,Telenor
67.07485696,24.92814507,21.73333333,Good,Telenor
67.07828778,24.93089585,18.6,Moderate,Jazz
67.07712534,24.92996483,18,Moderate,Jazz
67.07604762,24.92909294,31,Great,Jazz
67.07488037,24.92816378,14.5,Bad,Jazz
67.08048754,24.93073742,31,Great,Jazz
67.07498026,24.9281349,29.55555556,Great,Jazz
67.07327027,24.92688297,30.38461538,Great,Jazz
67.07773551,24.94172983,24.61538462,Good,Telenor
67.07907373,24.9422399,30.90909091,Great,Telenor
67.07957364,24.9417212,31,Great,Telenor
67.07889263,24.94265656,21.25,Good,Jazz
67.0786675,24.94266251,26.18181818,Good,Jazz
67.07782921,24.94006962,24.4,Good,Jazz
67.08000286,24.9412586,31,Great,Jazz
67.05565465,24.94641538,29.83333333,Great,Telenor
67.05267845,24.94700686,22.6875,Good,Telenor
67.05424194,24.94585144,24,Good,Telenor
67.05364872,24.94680683,18.6,Moderate,Telenor
67.05801012,24.94917409,31,Great,Telenor
67.05600739,24.9471041,31,Great,Telenor
67.05496961,24.94769764,22.2,Good,Telenor
67.05425581,24.9485718,31,Great,Telenor
67.05416692,24.9476571,21.36363636,Good,Telenor
67.05379298,24.94618359,21.33333333,Good,Jazz
67.05738644,24.94849351,24.83333333,Good,Jazz
